GEO.id,Zipcode,GEO.display-label,NAICS.id,NAICS.display-label,RCPSZFE.id,RCPSZFE.display-label,YEAR.id,ESTAB
8610000US10467,10467,"ZIP 10467 (Bronx, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10468,10468,"ZIP 10468 (Bronx, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10469,10469,"ZIP 10469 (Bronx, NY)",7211,Traveler accommodation,1,All establishments,2012,5
8610000US10470,10470,"ZIP 10470 (Bronx, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10471,10471,"ZIP 10471 (Bronx, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10475,10475,"ZIP 10475 (Bronx, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US10502,10502,"ZIP 10502 (Ardsley, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US10504,10504,"ZIP 10504 (Armonk, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10509,10509,"ZIP 10509 (Brewster, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US10516,10516,"ZIP 10516 (Cold Spring, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10520,10520,"ZIP 10520 (Croton On Hudson, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10523,10523,"ZIP 10523 (Elmsford, NY)",7211,Traveler accommodation,1,All establishments,2012,7
8610000US10532,10532,"ZIP 10532 (Hawthorne, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10536,10536,"ZIP 10536 (Katonah, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10541,10541,"ZIP 10541 (Mahopac, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10543,10543,"ZIP 10543 (Mamaroneck, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US10562,10562,"ZIP 10562 (Ossining, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10566,10566,"ZIP 10566 (Peekskill, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10567,10567,"ZIP 10567 (Cortlandt Manor, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10573,10573,"ZIP 10573 (Port Chester, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US10580,10580,"ZIP 10580 (Rye, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10583,10583,"ZIP 10583 (Scarsdale, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10591,10591,"ZIP 10591 (Tarrytown, NY)",7211,Traveler accommodation,1,All establishments,2012,7
8610000US10601,10601,"ZIP 10601 (White Plains, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US10604,10604,"ZIP 10604 (West Harrison, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10605,10605,"ZIP 10605 (White Plains, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10607,10607,"ZIP 10607 (White Plains, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10701,10701,"ZIP 10701 (Yonkers, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US10710,10710,"ZIP 10710 (Yonkers, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US10801,10801,"ZIP 10801 (New Rochelle, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10901,10901,"ZIP 10901 (Suffern, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US10917,10917,"ZIP 10917 (Central Valley, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10918,10918,"ZIP 10918 (Chester, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10922,10922,"ZIP 10922 (Fort Montgomery, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10924,10924,"ZIP 10924 (Goshen, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10925,10925,"ZIP 10925 (Greenwood Lake, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10926,10926,"ZIP 10926 (Harriman, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10928,10928,"ZIP 10928 (Highland Falls, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10940,10940,"ZIP 10940 (Middletown, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10941,10941,"ZIP 10941 (Middletown, NY)",7211,Traveler accommodation,1,All establishments,2012,6
8610000US10950,10950,"ZIP 10950 (Monroe, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10952,10952,"ZIP 10952 (Monsey, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10954,10954,"ZIP 10954 (Nanuet, NY)",7211,Traveler accommodation,1,All establishments,2012,5
8610000US10956,10956,"ZIP 10956 (New City, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10958,10958,"ZIP 10958 (New Hampton, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10960,10960,"ZIP 10960 (Nyack, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10962,10962,"ZIP 10962 (Orangeburg, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10965,10965,"ZIP 10965 (Pearl River, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10975,10975,"ZIP 10975 (Southfields, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10977,10977,"ZIP 10977 (Spring Valley, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10980,10980,"ZIP 10980 (Stony Point, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US10994,10994,"ZIP 10994 (West Nyack, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US10996,10996,"ZIP 10996 (West Point, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11001,11001,"ZIP 11001 (Floral Park, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11003,11003,"ZIP 11003 (Elmont, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11021,11021,"ZIP 11021 (Great Neck, NY)",7211,Traveler accommodation,1,All establishments,2012,4
8610000US11024,11024,"ZIP 11024 (Great Neck, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11030,11030,"ZIP 11030 (Manhasset, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11040,11040,"ZIP 11040 (New Hyde Park, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11050,11050,"ZIP 11050 (Port Washington, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11101,11101,"ZIP 11101 (Long Island City, NY)",7211,Traveler accommodation,1,All establishments,2012,18
8610000US11103,11103,"ZIP 11103 (Astoria, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11106,11106,"ZIP 11106 (Astoria, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11201,11201,"ZIP 11201 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US11203,11203,"ZIP 11203 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11204,11204,"ZIP 11204 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11205,11205,"ZIP 11205 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11206,11206,"ZIP 11206 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US11207,11207,"ZIP 11207 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,4
8610000US11208,11208,"ZIP 11208 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,4
8610000US11209,11209,"ZIP 11209 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11210,11210,"ZIP 11210 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11211,11211,"ZIP 11211 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,5
8610000US11212,11212,"ZIP 11212 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11213,11213,"ZIP 11213 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11214,11214,"ZIP 11214 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11215,11215,"ZIP 11215 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,4
8610000US11216,11216,"ZIP 11216 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11219,11219,"ZIP 11219 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11220,11220,"ZIP 11220 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11221,11221,"ZIP 11221 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11222,11222,"ZIP 11222 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11223,11223,"ZIP 11223 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11226,11226,"ZIP 11226 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11230,11230,"ZIP 11230 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11231,11231,"ZIP 11231 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,2
8610000US11232,11232,"ZIP 11232 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,5
8610000US11234,11234,"ZIP 11234 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11235,11235,"ZIP 11235 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,3
8610000US11237,11237,"ZIP 11237 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,1
8610000US11249,11249,"ZIP 11249 (Brooklyn, NY)",7211,Traveler accommodation,1,All establishments,2012,3
