ZIP CODE,tc_1# of Properties,tc_1Finance FY'2017 Market Value Total,tc_1Average Market Value,tc_1Finance FY'2017 Assessed Value Land,tc_1Finance FY'2017 Assessed Value Total,tc_1Average Assessed Value,tc_1Finance FY'2017 Exempt Value Land,tc_1Finance FY'2017 Exempt Value Total,"tc_1Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","tc_1FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",tc_1FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),tc_1FY'2017 Median Effective Tax Rate,"tc_1FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",tc_1FY'2017 Median Actual Assessment Ratio,tc_1FY'2017 Taxes w/out Exemptions,tc_1FY'2017 Average Taxes w/out Exemptions,tc_1FY'2017 Average Effective Tax Rate w/out Exemptions,tc_1FY'2017 Median Effective Tax Rate w/out Exemption,tc_2 # OF PROPERTIES,tc_2 FY'2017 MARKET VALUE LAND,tc_2 FY'2017 MARKET VALUE TOTAL,tc_2 FY'2017 ASSESSED VALUE LAND,tc_2 FY'2017 ASSESSED VALUE TOTAL,tc_2 FY'2017 EXEMPT VALUE LAND,tc_2 FY'2017 EXEMPT VALUE TOTAL,tc_2 FY'2017 ACTUAL ASSESSED VALUE LAND,tc_2 FY'2017 ACTUAL ASSESSED VALUE TOTAL,tc_2 Average Actual Assessment Ratio,tc_2 Median Actual Assessment Ratio,tc_2 FY'2017 ACTUAL EXEMPT VALUE LAND,tc_2 FY'2017 ACTUAL EXEMPT VALUE TOTAL,tc_2 TOTAL UNITS,tc_2 RESIDENTIAL UNITS,tc_2 LAND SQUARE FEET,tc_2 GROSS SQUARE FEET,tc_2 Taxable Assessed Value,tc_2 Total Taxes,tc_2 Average Taxable Effective Tax Rate,tc_2 Median Taxable Effective Tax Rate,tc_2 Taxes w/out Exemption,tc_2 Average Effective Tax Rate w/out Exemption,tc_2 Median Effective Tax Rate w/out Exemption,tc_2 Average Market Value Per Residential Unit,tc_2 Average Market Value Per Gross Square Foot,tc_2 Actual Assessed Value Per Residential Unit,Actual Assessed Value Per Gross Square Foot,Taxes w/out Exemption Per Residential Unit,Taxes w/out Exemption Per Gross Square Foot,White,Non-White,Black or African American,Asian,Hispanic Origin of Any Race
10280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"3,363","$277,393,280 ","$1,529,667,022 ","$124,802,775 ","$596,100,362 ","$124,802,775 ","$596,052,303 ","$124,826,988 ","$688,350,236 ",45.00%,45.00%,"$124,826,988 ","$688,288,346 ","5,485","5,473","2,393,303","9,962,892","48,059","6,196",0.00%,0.00%,"88,742,112",5.80%,5.80%,"$279,493 ",$154 ,"$125,772 ",$69 ,"$16,215 ",$8.91 ,72%,28%,1%,20%,
10282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,449,"$71,491,381 ","$1,123,026,004 ","$31,324,836 ","$418,697,412 ","$31,324,836 ","$418,697,412 ","$32,171,119 ","$505,361,702 ",45.00%,45.00%,"$32,171,119 ","$505,361,702 ","3,166","3,154","312,436","5,718,138",0,0,0.00%,0.00%,"65,151,231",5.80%,5.80%,"$356,064 ",$196 ,"$160,229 ",$88 ,"$20,657 ",$11.39 ,73%,28%,1%,12%,
10128,289,2638587266,9130060,29701745,74701915,258484,1092103,2151588,72550327,14503536,0.0055,0.0059,0.0283,0.0298,14933660,51674,0.0057,0.006,"5,627","$1,794,414,353 ","$8,441,284,383 ","$727,687,026 ","$3,138,049,341 ","$68,371,918 ","$246,896,793 ","$734,354,998 ","$3,584,891,973 ",42.47%,45.00%,"$69,081,527 ","$279,340,298 ","36,345","35,506","28,350,232","48,733,044","2,889,151,277","372,469,383",4.41%,5.17%,"462,164,273",5.48%,5.80%,"$237,742 ",$173 ,"$100,966 ",$74 ,"$13,017 ",$9.48 ,81%,19%,5%,10%,11%
10129,1,7421000,7421000,126965,294900,294900,0,0,294900,58953,0.0079,0.0079,0.0397,0.0397,58953,58953,0.0079,0.0079,13,"$5,645,564 ","$60,898,998 ","$2,513,835 ","$22,807,225 ","$219,124 ","$574,374 ","$2,540,506 ","$27,404,551 ",45.00%,45.00%,"$230,130 ","$659,140 ",201,191,"34,565","382,157","22,232,851","2,866,259",4.71%,4.31%,"3,532,995",5.80%,5.80%,"$318,843 ",$159 ,"$143,479 ",$72 ,"$18,497 ",$9.24 ,81%,19%,5%,10%,11%
10301,6971,3454559452,495562,83909046,176018076,25250,14711095,16637227,159380849,31861826,0.0092,0.0099,0.051,0.0533,35187774,5048,0.0102,0.0106,879,"$117,868,053 ","$425,002,985 ","$34,817,290 ","$138,472,444 ","$11,241,514 ","$31,932,360 ","$41,009,718 ","$155,074,957 ",36.49%,45.00%,"$13,712,419 ","$35,809,113 ","7,399","7,318","12,355,622","7,871,397","106,038,334","13,670,462",3.22%,4.70%,"19,992,263",4.70%,5.80%,"$58,076 ",$54 ,"$21,191 ",$20 ,"$2,732 ",$2.54 ,58%,42%,26%,5%,28%
10302,4147,1456499286,351218,34790771,77874952,18779,6790061,8207201,69667751,13927280,0.0096,0.0102,0.0535,0.0551,15567982,3754,0.0107,0.011,91,"$18,162,000 ","$59,099,001 ","$4,682,264 ","$15,733,640 ","$550,000 ","$2,420,841 ","$5,312,624 ","$16,816,252 ",28.45%,20.62%,"$770,860 ","$2,621,859 ",938,886,"894,772","751,585","13,277,969","1,711,796",2.90%,2.17%,"2,167,951",3.67%,2.66%,"$66,703 ",$79 ,"$18,980 ",$22 ,"$2,447 ",$2.88 ,61%,39%,20%,7%,39%
10303,5673,1704301234,300423,36836473,92684024,16338,7721006,9116443,83567581,16705995,0.0098,0.0105,0.0544,0.0567,18528463,3266,0.0109,0.0113,77,"$31,511,000 ","$77,877,000 ","$11,458,661 ","$25,736,039 ","$8,816,456 ","$18,944,261 ","$12,488,801 ","$30,208,136 ",38.79%,19.63%,"$9,867,566 ","$23,017,247 ","1,749","1,725","3,583,715","2,890,425","6,790,752","875,464",1.12%,2.01%,"3,894,433",5.00%,2.53%,"$45,146 ",$27 ,"$17,512 ",$10 ,"$2,258 ",$1.35 ,39%,61%,37%,7%,39%
10304,9200,4839910844,526077,96579528,246631498,26808,17104265,20760975,225870523,45153776,0.0093,0.0103,0.051,0.0553,49304103,5359,0.0102,0.011,481,"$78,514,632 ","$311,367,457 ","$23,356,815 ","$107,621,562 ","$7,477,715 ","$58,307,248 ","$27,982,345 ","$122,598,828 ",39.37%,45.00%,"$10,200,338 ","$68,299,578 ","6,016","5,928","22,754,302","5,921,568","49,198,862","6,342,717",2.04%,5.07%,"15,805,441",5.08%,5.80%,"$52,525 ",$53 ,"$20,681 ",$21 ,"$2,666 ",$2.67 ,51%,49%,27%,11%,27%
10305,11000,4417521468,401593,89044406,232269617,21115,20472820,25141602,207128015,41406961,0.0094,0.0102,0.0526,0.0556,46433019,4221,0.0105,0.0111,488,"$50,532,744 ","$161,918,331 ","$16,599,181 ","$50,654,653 ","$6,527,849 ","$19,143,630 ","$19,083,653 ","$64,052,541 ",39.56%,45.00%,"$7,861,451 ","$27,012,983 ","2,970","2,918","12,742,044","3,287,446","31,488,535","4,059,502",2.51%,4.96%,"8,257,654",5.10%,5.80%,"$55,489 ",$49 ,"$21,951 ",$19 ,"$2,830 ",$2.51 ,77%,23%,4%,12%,14%
10306,17102,7731794362,452099,159388581,402298169,23523,44514056,55125551,347172618,69403278,0.009,0.01,0.052,0.0553,80423427,4703,0.0104,0.011,501,"$52,756,013 ","$157,898,496 ","$17,038,547 ","$50,738,679 ","$2,746,551 ","$7,931,187 ","$20,112,317 ","$62,554,952 ",39.62%,45.00%,"$2,770,043 ","$8,300,089 ","2,995","2,943","11,503,467","3,371,270","42,802,880","5,518,147",3.49%,5.02%,"8,064,584",5.11%,5.80%,"$53,652 ",$47 ,"$21,256 ",$19 ,"$2,740 ",$2.39 ,89%,11%,3%,5%,13%
10307,4204,2462233935,585688,47389327,127531883,30336,8110416,9833185,117698698,23529147,0.0096,0.0102,0.0518,0.0542,25494899,6064,0.0104,0.0108,20,"$3,344,000 ","$8,916,330 ","$933,031 ","$2,530,367 ","$148,957 ","$377,220 ","$972,541 ","$2,926,689 ",32.82%,25.98%,"$150,398 ","$370,793 ",105,89,"342,778","208,425","2,151,706","277,398",3.11%,1.80%,"377,309",4.23%,3.35%,"$100,183 ",$43 ,"$32,884 ",$14 ,"$4,239 ",$1.81 ,94%,6%,0%,4%,8%
10308,8561,3957978170,462327,82137665,216536498,25293,21664372,26801177,189735321,37929988,0.0096,0.0104,0.0547,0.0567,43287811,5056,0.0109,0.0113,145,"$8,529,697 ","$22,675,809 ","$2,951,665 ","$7,649,413 ","$511,318 ","$1,350,533 ","$3,004,320 ","$8,816,076 ",38.88%,45.00%,"$521,750 ","$1,519,934 ",385,377,"1,641,051","1,042,573","6,298,880","812,052",3.58%,3.86%,"1,136,569",5.01%,5.80%,"$60,148 ",$22 ,"$23,385 ",$8 ,"$3,015 ",$1.09 ,94%,6%,0%,4%,10%
10309,10211,5581361153,546603,112381100,297102421,29096,24113100,29204773,267897648,53555419,0.0096,0.0107,0.0532,0.0573,59393745,5817,0.0106,0.0115,14,"$636,000 ","$2,507,000 ","$135,738 ","$699,173 ","$35,913 ","$335,233 ","$135,738 ","$699,173 ",27.89%,0.00%,"$35,913 ","$335,233 ",20,18,"1,746,366","1,277,275","363,940","46,919",1.87%,0.00%,"90,137",3.60%,0.00%,"$139,278 ",$2 ,"$38,843 ",$1 ,"$5,008 ",$0.07 ,92%,8%,2%,4%,11%
10310,5723,2336081005,408192,61221755,124739136,21796,10275283,11820199,112918937,22573625,0.0097,0.0102,0.0534,0.0545,24936601,4357,0.0107,0.0109,166,"$32,853,999 ","$83,622,995 ","$10,329,205 ","$26,868,031 ","$5,442,202 ","$13,885,696 ","$11,510,475 ","$30,246,152 ",36.17%,36.41%,"$6,232,600 ","$16,214,719 ","1,776","1,738","3,360,794","1,586,892","12,963,975","1,671,316",2.00%,3.85%,"3,899,334",4.66%,4.69%,"$48,114 ",$53 ,"$17,403 ",$19 ,"$2,244 ",$2.46 ,57%,43%,27%,6%,29%
10312,19860,9843465405,495643,203592351,534172577,26897,53362009,64660418,469512159,93860176,0.0095,0.0106,0.0543,0.0572,106786440,5377,0.0108,0.0114,109,"$5,354,980 ","$13,340,128 ","$1,321,106 ","$3,857,714 ","$86,155 ","$322,539 ","$1,321,106 ","$4,341,813 ",32.55%,45.00%,"$86,456 ","$346,435 ",205,198,"1,629,466","944,339","3,535,175","455,755",3.42%,3.86%,"559,747",4.20%,5.80%,"$67,374 ",$14 ,"$21,928 ",$5 ,"$2,827 ",$0.59 ,92%,8%,1%,5%,9%
10314,23769,11057906823,465224,223041643,577202061,24284,53960176,67312707,509889354,101931981,0.0092,0.0104,0.0522,0.0561,115388464,4855,0.0104,0.0112,"1,213","$38,988,531 ","$135,592,968 ","$14,146,122 ","$53,719,876 ","$4,746,077 ","$17,861,496 ","$15,886,279 ","$57,082,668 ",42.10%,45.00%,"$5,060,067 ","$15,315,696 ","2,555","2,531","73,357,986","7,822,093","35,836,780","4,620,078",3.41%,5.02%,"7,359,098",5.43%,5.80%,"$53,573 ",$17 ,"$22,553 ",$7 ,"$2,908 ",$0.94 ,77%,23%,4%,14%,12%
10451,532,205100133,385527,3956085,8490400,15959,1875903,4536129,3954271,790498,0.0039,0.0035,0.0414,0.0299,1697316,3190,0.0083,0.006,452,"$77,902,231 ","$902,301,148 ","$31,685,402 ","$344,630,348 ","$21,019,816 ","$245,065,398 ","$32,932,063 ","$389,253,253 ",43.14%,45.00%,"$21,325,177 ","$270,406,943 ","19,724","19,323","8,440,605","21,013,093","99,157,511","12,783,386",1.42%,0.30%,"50,182,529",5.56%,5.80%,"$46,696 ",$43 ,"$20,145 ",$19 ,"$2,597 ",$2.39 ,15%,85%,43%,2%,57%
10452,598,260845567,436197,3299766,8209682,13729,723614,1886524,6323158,1264063,0.0048,0.0043,0.0315,0.0246,1641198,2744,0.0063,0.0049,540,"$90,511,808 ","$1,001,851,828 ","$35,683,125 ","$375,175,290 ","$13,413,479 ","$143,739,292 ","$38,864,637 ","$434,532,422 ",43.37%,45.00%,"$14,098,536 ","$173,569,178 ","26,354","25,927","6,797,430","25,596,632","223,088,323","28,760,547",2.87%,1.97%,"56,019,920",5.59%,5.80%,"$38,641 ",$39 ,"$16,760 ",$17 ,"$2,161 ",$2.19 ,15%,85%,34%,1%,67%
10453,1200,517030540,430859,8551542,20309912,16925,1345343,2605220,17704692,3539345,0.0068,0.0066,0.0393,0.0374,4060155,3383,0.0079,0.0075,563,"$96,773,076 ","$1,039,092,445 ","$37,535,289 ","$387,746,687 ","$14,959,220 ","$173,719,183 ","$40,615,992 ","$453,929,404 ",43.69%,45.00%,"$17,065,160 ","$211,996,150 ","37,792","37,485","7,113,824","25,485,841","210,495,390","27,137,066",2.61%,4.10%,"58,520,579",5.63%,5.80%,"$27,720 ",$41 ,"$12,110 ",$18 ,"$1,561 ",$2.30 ,10%,90%,32%,1%,68%
10454,790,298208133,377479,4414365,12410785,15710,826791,2580446,9830339,1965183,0.0066,0.0064,0.0416,0.0457,2481040,3141,0.0083,0.0091,378,"$52,075,929 ","$709,469,037 ","$18,038,148 ","$254,051,274 ","$13,373,461 ","$200,746,765 ","$18,254,955 ","$285,402,093 ",40.23%,45.00%,"$13,368,774 ","$224,210,095 ","13,425","13,117","3,908,071","13,635,239","52,831,163","6,810,994",0.96%,0.91%,"36,794,038",5.19%,5.80%,"$54,088 ",$52 ,"$21,758 ",$21 ,"$2,805 ",$2.70 ,25%,75%,32%,1%,72%
10455,952,372681291,391472,6233227,15986609,16793,932965,3377365,12609244,2520714,0.0068,0.0061,0.0429,0.0427,3195883,3357,0.0086,0.0085,425,"$65,157,476 ","$622,398,687 ","$21,906,516 ","$218,769,895 ","$14,159,868 ","$157,742,206 ","$26,444,858 ","$253,789,316 ",40.78%,45.00%,"$16,866,108 ","$182,014,354 ","14,092","13,786","3,934,326","12,898,554","60,246,977","7,767,040",1.25%,1.12%,"32,718,519",5.26%,5.80%,"$45,147 ",$48 ,"$18,409 ",$20 ,"$2,373 ",$2.54 ,14%,86%,31%,0%,75%
10456,1860,690379703,371172,8932313,25305248,13605,1733488,6325182,18980066,3794305,0.0055,0.0052,0.0367,0.0331,5058772,2720,0.0073,0.0066,804,"$115,030,112 ","$1,143,378,082 ","$43,503,861 ","$417,877,812 ","$24,784,662 ","$267,536,435 ","$45,775,935 ","$479,280,982 ",41.92%,45.00%,"$26,703,097 ","$310,130,805 ","27,694","27,262","8,624,516","27,812,102","144,823,347","18,670,626",1.63%,1.08%,"61,788,904",5.40%,5.80%,"$41,940 ",$41 ,"$17,581 ",$17 ,"$2,266 ",$2.22 ,10%,90%,40%,1%,60%
10457,1658,680971092,410718,10355042,26792979,16160,1772155,4907264,21885715,4375173,0.0064,0.0065,0.0393,0.0406,5356184,3231,0.0079,0.0081,660,"$92,920,933 ","$1,011,055,063 ","$33,522,705 ","$364,064,315 ","$16,262,796 ","$155,092,936 ","$36,184,347 ","$415,894,278 ",41.13%,45.00%,"$17,874,363 ","$176,534,081 ","23,325","22,961","5,713,321","21,295,947","206,990,802","26,685,254",2.64%,2.22%,"53,617,090",5.30%,5.80%,"$44,034 ",$47 ,"$18,113 ",$20 ,"$2,335 ",$2.52 ,14%,86%,38%,1%,65%
10458,1375,584590303,425157,9440463,25829382,18785,1399004,2719192,23110190,4619958,0.0079,0.0082,0.0442,0.0443,5163552,3755,0.0088,0.0089,953,"$134,819,336 ","$1,199,029,560 ","$38,239,535 ","$400,504,385 ","$8,435,724 ","$91,227,043 ","$52,406,923 ","$467,278,685 ",38.97%,45.00%,"$9,503,868 ","$102,274,466 ","26,492","25,910","6,634,953","25,204,010","308,469,593","39,767,900",3.32%,4.12%,"60,241,568",5.02%,5.80%,"$46,277 ",$48 ,"$18,035 ",$19 ,"$2,325 ",$2.39 ,19%,81%,21%,3%,66%
10459,1820,671867642,369158,12183510,30340593,16671,1929132,4909612,25430981,5083907,0.0076,0.0079,0.0452,0.05,6065388,3333,0.009,0.01,654,"$81,870,480 ","$675,894,449 ","$29,246,799 ","$237,669,737 ","$18,326,299 ","$145,791,917 ","$32,279,416 ","$270,082,561 ",39.96%,45.00%,"$20,394,181 ","$166,632,145 ","14,600","14,195","4,967,069","15,587,321","90,623,363","11,683,164",1.73%,0.83%,"34,819,044",5.15%,5.80%,"$47,615 ",$43 ,"$19,027 ",$17 ,"$2,453 ",$2.23 ,12%,88%,31%,1%,70%
10460,1854,767556600,414000,13745577,37034907,19976,1963185,5240577,31794330,6356005,0.0083,0.0092,0.0483,0.0529,7403648,3993,0.0096,0.0106,608,"$98,707,223 ","$823,761,625 ","$33,368,231 ","$302,773,217 ","$15,124,070 ","$161,786,047 ","$36,020,893 ","$339,262,711 ",41.18%,45.00%,"$16,879,153 ","$180,162,628 ","18,323","17,974","5,218,195","16,642,248","140,154,985","18,068,781",2.19%,2.30%,"43,737,749",5.31%,5.80%,"$45,831 ",$49 ,"$18,875 ",$20 ,"$2,433 ",$2.63 ,13%,87%,27%,2%,71%
10461,4292,2061872236,480399,40288721,112548598,26223,8570778,12412046,100136552,20018298,0.0097,0.0105,0.0546,0.056,22499590,5242,0.0109,0.0112,731,"$96,294,671 ","$541,761,862 ","$26,821,553 ","$168,412,589 ","$2,706,555 ","$18,262,623 ","$27,296,204 ","$188,148,439 ",34.73%,27.99%,"$2,809,305 ","$19,915,222 ","9,675","9,371","4,846,743","9,831,055","149,767,826","19,308,068",3.56%,2.76%,"24,256,097",4.48%,3.61%,"$57,813 ",$55 ,"$20,078 ",$19 ,"$2,588 ",$2.47 ,50%,50%,8%,10%,40%
10462,3683,1655038968,449373,31669806,89498686,24300,5712015,8385085,81113601,16215420,0.0098,0.0104,0.0541,0.0553,17891682,4858,0.0108,0.011,"12,775","$127,788,505 ","$1,157,853,891 ","$40,509,680 ","$429,587,237 ","$4,444,419 ","$174,548,458 ","$42,136,236 ","$483,578,306 ",41.77%,45.00%,"$4,548,891 ","$186,624,585 ","25,163","24,874","11,262,040","62,968,857","254,588,010","32,821,486",2.83%,1.76%,"62,342,915",5.38%,5.80%,"$46,549 ",$18 ,"$19,441 ",$8 ,"$2,506 ",$0.99 ,23%,77%,28%,12%,47%
10463,1798,1202234719,668651,22269277,54328118,30216,5458815,7098015,47230103,9441770,0.0079,0.0087,0.0452,0.0469,10860734,6040,0.009,0.0094,"1,030","$252,768,291 ","$1,629,211,240 ","$95,528,725 ","$633,184,258 ","$35,461,015 ","$178,213,038 ","$110,794,684 ","$722,966,548 ",44.38%,45.00%,"$42,311,639 ","$199,513,292 ","27,600","27,391","14,201,426","32,055,006","454,561,891","58,602,119",3.60%,3.98%,"93,204,847",5.72%,5.80%,"$59,480 ",$51 ,"$26,394 ",$23 ,"$3,403 ",$2.91 ,45%,55%,16%,4%,49%
10464,1493,699831446,468742,15060146,36475884,24431,2684788,3439453,33036431,6604313,0.0094,0.0101,0.0521,0.0553,7291894,4884,0.0104,0.0111,59,"$6,414,999 ","$32,569,999 ","$2,432,040 ","$9,821,995 ","$1,109,808 ","$2,921,423 ","$2,432,040 ","$10,222,884 ",31.39%,31.14%,"$1,111,112 ","$3,033,669 ",450,434,"1,138,211","600,390","6,900,572","889,622",2.73%,3.69%,"1,317,934",4.05%,4.01%,"$75,046 ",$54 ,"$23,555 ",$17 ,"$3,037 ",$2.20 ,82%,18%,2%,0%,22%
10465,2377,1293336639,544105,27441078,69712140,29328,6643087,8850474,60861666,12166856,0.0094,0.0105,0.0539,0.0576,13936154,5863,0.0108,0.0115,286,"$49,070,318 ","$191,532,001 ","$16,130,369 ","$65,784,651 ","$10,019,012 ","$40,251,626 ","$18,237,089 ","$73,470,548 ",38.36%,45.00%,"$12,127,588 ","$45,799,130 ","3,456","3,416","5,297,419","4,571,265","25,441,922","3,279,973",1.71%,4.17%,"9,471,823",4.95%,5.80%,"$56,069 ",$42 ,"$21,508 ",$16 ,"$2,773 ",$2.07 ,64%,36%,10%,4%,36%
10466,5,24812000,4962400,514803,514803,102961,514803,514803,0,0,0,0,0.0207,0.0224,102914,20583,0.0041,0.0045,461,"$97,545,010 ","$475,688,010 ","$32,151,413 ","$163,400,155 ","$11,583,555 ","$62,134,629 ","$32,579,825 ","$185,171,982 ",38.93%,28.00%,"$11,635,726 ","$71,169,468 ","9,409","9,284","5,407,503","8,324,515","100,698,273","12,982,021",2.73%,3.29%,"23,872,372",5.02%,3.61%,"$51,237 ",$57 ,"$19,945 ",$22 ,"$2,571 ",$2.87 ,8%,92%,74%,2%,22%
10467,3226,1472622876,456486,26638139,75957395,23545,4030295,7182310,68775085,13748827,0.0093,0.0099,0.0516,0.0524,15184643,4707,0.0103,0.0105,"1,201","$183,635,639 ","$1,372,600,004 ","$63,356,156 ","$503,402,675 ","$17,048,544 ","$142,174,306 ","$65,376,198 ","$562,701,479 ",41.00%,45.00%,"$17,928,443 ","$150,171,073 ","44,351","43,967","30,453,170","31,082,893","359,089,611","46,293,833",3.37%,4.12%,"72,543,475",5.29%,5.80%,"$31,219 ",$44 ,"$12,798 ",$18 ,"$1,650 ",$2.33 ,20%,80%,37%,7%,48%
10468,749,356160600,475515,5637687,15100375,20161,975694,1890466,13209909,2640793,0.0074,0.008,0.0424,0.0424,3018716,4030,0.0085,0.0085,636,"$108,079,035 ","$1,012,723,011 ","$33,083,337 ","$380,120,035 ","$5,700,070 ","$64,616,941 ","$45,226,867 ","$439,091,255 ",43.36%,45.00%,"$6,892,262 ","$72,653,176 ","24,712","24,304","6,928,906","25,002,703","314,466,244","40,540,988",4.00%,4.71%,"56,607,645",5.59%,5.80%,"$41,669 ",$41 ,"$18,067 ",$18 ,"$2,329 ",$2.26 ,14%,86%,23%,4%,71%
10469,20240,8749025294,432264,168982915,474810719,23459,30826188,44167010,430643709,86089984,0.0098,0.0105,0.0543,0.0558,94919411,4690,0.0108,0.0112,236,"$61,466,010 ","$277,192,443 ","$17,060,155 ","$83,847,800 ","$7,213,828 ","$43,144,706 ","$17,211,299 ","$92,973,106 ",33.54%,16.71%,"$7,364,972 ","$48,403,168 ","17,505","17,418","2,788,846","4,298,022","40,599,900","5,234,139",1.89%,2.03%,"11,986,093",4.32%,2.15%,"$15,914 ",$64 ,"$5,338 ",$22 ,$688 ,$2.79 ,20%,80%,54%,5%,26%
10470,1077,516982200,480021,10286996,28935819,26867,2003962,2741492,26194327,5236508,0.0101,0.0108,0.056,0.0576,5784560,5371,0.0112,0.0115,165,"$27,469,010 ","$172,210,010 ","$8,598,247 ","$58,020,623 ","$1,320,389 ","$7,383,794 ","$8,929,087 ","$63,440,590 ",36.84%,25.22%,"$1,346,980 ","$7,355,583 ","3,240","3,159","1,059,740","2,950,810","50,422,179","6,500,427",3.77%,3.23%,"8,178,761",4.75%,3.25%,"$54,514 ",$58 ,"$20,082 ",$21 ,"$2,589 ",$2.77 ,45%,55%,34%,4%,20%
10471,2237,2211371524,988543,38842491,107248320,47943,5160235,6838195,100410125,20072988,0.0091,0.0098,0.0485,0.0519,21440012,9584,0.0097,0.0104,354,"$104,558,189 ","$494,447,062 ","$43,177,884 ","$192,709,918 ","$9,513,535 ","$23,840,048 ","$45,590,904 ","$218,533,717 ",44.20%,45.00%,"$10,102,047 ","$25,481,647 ","7,859","7,825","7,228,302","8,624,955","168,869,870","21,770,704",4.40%,4.95%,"28,173,367",5.70%,5.80%,"$63,188 ",$57 ,"$27,928 ",$25 ,"$3,600 ",$3.27 ,70%,30%,8%,9%,23%
10472,3095,1362073534,440088,25986033,74340364,24020,4491555,7362311,66978053,13389583,0.0098,0.0107,0.0546,0.0571,14861382,4802,0.0109,0.0114,957,"$206,923,833 ","$840,236,683 ","$52,440,163 ","$251,909,689 ","$16,634,435 ","$84,717,983 ","$53,108,545 ","$282,857,096 ",33.66%,18.89%,"$17,112,255 ","$99,445,022 ","28,577","28,335","8,329,958","15,272,182","166,947,806","21,522,911",2.56%,2.36%,"36,465,937",4.34%,2.44%,"$29,654 ",$55 ,"$9,983 ",$19 ,"$1,287 ",$2.39 ,16%,84%,29%,6%,64%
10473,5308,2148854680,404833,37578664,107021818,20162,8769591,19569066,87452752,17482680,0.0081,0.0099,0.0498,0.0554,21394732,4031,0.01,0.0111,299,"$100,963,648 ","$508,327,236 ","$38,650,361 ","$194,808,458 ","$27,415,709 ","$139,560,490 ","$42,466,131 ","$218,749,115 ",43.03%,45.00%,"$29,467,463 ","$156,767,628 ","12,381","12,340","9,495,492","13,412,568","55,247,968","7,122,568",1.40%,3.63%,"28,201,136",5.55%,5.80%,"$41,193 ",$38 ,"$17,727 ",$16 ,"$2,285 ",$2.10 ,25%,75%,42%,2%,59%
10474,355,164325550,462889,1962757,5558464,15658,380649,1227944,4330520,865714,0.0053,0.0054,0.0338,0.0298,1111193,3130,0.0068,0.006,130,"$15,742,930 ","$138,757,000 ","$4,823,805 ","$46,446,685 ","$1,463,395 ","$25,792,742 ","$5,207,587 ","$54,892,430 ",39.56%,45.00%,"$1,578,620 ","$31,027,589 ","3,293","3,229","856,448","3,103,715","20,469,830","2,638,970",1.90%,1.67%,"7,076,732",5.10%,5.80%,"$42,972 ",$45 ,"$17,000 ",$18 ,"$2,192 ",$2.28 ,25%,75%,32%,0%,70%
10475,218,118859351,545226,3416031,6168038,28294,1941102,2099717,4068321,813298,0.0068,0.0108,0.0519,0.06,1233052,5656,0.0104,0.012,19,"$94,020,000 ","$699,300,140 ","$41,488,905 ","$284,120,761 ","$40,210,136 ","$278,004,912 ","$41,450,638 ","$313,244,278 ",44.79%,45.00%,"$40,175,059 ","$306,601,609 ","16,545","16,496","8,028,418","20,374,403","6,115,849","788,455",0.11%,0.08%,"40,383,452",5.77%,5.80%,"$42,392 ",$34 ,"$18,989 ",$15 ,"$2,448 ",$1.98 ,17%,83%,59%,1%,33%
10803,67,44001160,656734,1247603,2484372,37080,394931,419825,2064547,412724,0.0094,0.0113,0.0565,0.06,496651,7413,0.0113,0.012,0,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,#DIV/0!,#NUM!,$0 ,$0 ,0,0,0,0,0,0,#DIV/0!,#NUM!,0,#DIV/0!,#NUM!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80%,20%,8%,5%,9%
11001,1225,714064373,582910,16983858,36055284,29433,2854607,3239183,32816101,6560267,0.0092,0.0096,0.0505,0.0512,7207812,5884,0.0101,0.0102,3,"$1,338,000 ","$3,637,000 ","$392,734 ","$1,069,206 ",$0 ,$0 ,"$392,734 ","$1,215,916 ",33.43%,8.20%,$0 ,$0 ,45,43,"81,492","42,155","1,069,206","137,842",3.79%,1.06%,"156,756",4.31%,1.06%,"$84,581 ",$86 ,"$28,277 ",$29 ,"$3,645 ",$3.72 ,71%,29%,6%,16%,11%
11004,2414,1525975037,632135,37722554,81329353,33691,6368698,7377739,73951614,14783667,0.0097,0.0101,0.0533,0.0539,16258551,6735,0.0107,0.0108,23,"$47,553,000 ","$180,314,398 ","$21,105,495 ","$70,795,922 ","$4,739,481 ","$23,844,091 ","$21,105,495 ","$80,554,532 ",44.67%,45.00%,"$4,922,511 ","$28,052,268 ","2,680","2,673","5,000,881","2,029,455","46,946,465","6,052,338",3.36%,3.22%,"10,385,090",5.76%,5.80%,"$67,458 ",$89 ,"$30,136 ",$40 ,"$3,885 ",$5.12 ,49%,51%,7%,35%,11%
