ZIP CODE,tc_2 # OF PROPERTIES,tc_2  FY'2017 MARKET VALUE LAND,tc_2  FY'2017 MARKET VALUE TOTAL,tc_2  FY'2017 ASSESSED VALUE LAND,tc_2  FY'2017 ASSESSED VALUE TOTAL,tc_2  FY'2017 EXEMPT VALUE LAND,tc_2  FY'2017 EXEMPT VALUE TOTAL,tc_2  FY'2017 ACTUAL ASSESSED VALUE LAND,tc_2  FY'2017 ACTUAL ASSESSED VALUE TOTAL,tc_2  Average Actual Assessment Ratio,tc_2  Median Actual Assessment Ratio,tc_2  FY'2017 ACTUAL EXEMPT VALUE LAND,tc_2  FY'2017 ACTUAL EXEMPT VALUE TOTAL,tc_2  TOTAL UNITS,tc_2  RESIDENTIAL UNITS,tc_2  LAND SQUARE FEET,tc_2 GROSS SQUARE FEET,tc_2 Taxable Assessed Value,tc_2 Total Taxes,tc_2 Average Taxable Effective Tax Rate,tc_2 Median Taxable Effective Tax Rate,tc_2 Taxes w/out Exemption,tc_2 Average Effective Tax Rate w/out Exemption,tc_2 Median Effective Tax Rate w/out Exemption,tc_2 Average Market Value Per Residential Unit,tc_2  Average Market Value Per Gross Square Foot,tc_2 Actual Assessed Value Per Residential Unit,tc_2 Actual Assessed Value Per Gross Square Foot,tc_2 Taxes w/out Exemption Per Residential Unit,tc_2 Taxes w/out Exemption Per Gross Square Foot,tc_1 # of Properties,tc_1 Finance FY'2017 Market Value Total,tc_1 Average Market Value,tc_1 Finance FY'2017 Assessed Value Land,tc_1 Finance FY'2017 Assessed Value Total,tc_1 Average Assessed Value,tc_1 Finance FY'2017 Exempt Value Land,tc_1 Finance FY'2017 Exempt Value Total,"tc_1 Finance FY'2017 Taxable Assessed Value 
(Assessed Value minus Exempt Value)","tc_1 FY'2017 Taxes
(Taxable Assessed Value * Tax Rate)",tc_1 FY'2017 Average Effective Tax Rate (Taxes ÷ Market Value),tc_1 FY'2017 Median Effective Tax Rate,"tc_1 FY'2017 Average Assessment Ratio
(Assessed Value ÷ Market Value)",tc_1 FY'2017 Median Actual Assessment Ratio,tc_1 FY'2017 Taxes w/out Exemptions,tc_1 FY'2017 Average Taxes w/out Exemptions,tc_1 FY'2017 Average Effective Tax Rate w/out Exemptions,tc_1 FY'2017 Median Effective Tax Rate w/out Exemption
10012,"2,156","$826,304,104 ","$4,555,806,259 ","$216,973,667 ","$1,266,938,225 ","$10,153,977 ","$95,526,898 ","$220,716,079 ","$1,474,541,338 ",32.37%,45.00%,"$10,328,336 ","$109,341,266 ","14,169","13,155","6,627,811","19,165,067","1,170,966,042","150,960,942",3.31%,4.55%,"190,097,869",4.17%,5.80%,"$346,317 ",$238 ,"$112,090 ",$77 ,"$14,451 ",$9.92 ,155,"$788,063,050 ","$5,084,278 ","$16,561,394 ","$28,368,315 ","$183,021 ","$745,672 ","$1,095,058 ","$27,273,257 ","$5,452,197 ",0.69%,0.74%,3.60%,3.74%,"5,671,110","$36,588 ",0.72%,0.75%
10013,"5,123","$1,032,575,281 ","$5,691,142,670 ","$323,587,511 ","$1,806,649,677 ","$18,826,954 ","$206,106,862 ","$324,909,395 ","$2,042,031,482 ",35.88%,45.00%,"$19,675,597 ","$240,572,659 ","16,527","15,291","15,418,451","34,913,855","1,599,544,372","206,213,260",3.62%,4.63%,"263,258,699",4.63%,5.80%,"$372,189 ",$163 ,"$133,545 ",$58 ,"$17,217 ",$7.54 ,40,"$276,933,000 ","$6,923,325 ","$4,265,901 ","$9,653,051 ","$241,326 ","$479,860 ","$939,655 ","$8,713,396 ","$1,741,895 ",0.63%,0.69%,3.49%,3.52%,"1,929,741","$48,244 ",0.70%,0.70%
10014,"3,333","$1,355,480,874 ","$5,586,197,223 ","$466,615,086 ","$1,829,677,375 ","$48,962,343 ","$191,486,483 ","$466,903,427 ","$2,116,801,296 ",37.89%,45.00%,"$49,061,256 ","$221,154,092 ","22,282","21,459","12,458,139","23,751,717","1,637,634,154","211,123,795",3.78%,4.74%,"272,898,023",4.89%,5.80%,"$260,320 ",$235 ,"$98,644 ",$89 ,"$12,717 ",$11.49 ,4,"$27,033,000 ","$6,758,250 ","$194,586 ","$465,179 ","$116,295 ","$3,380 ","$3,380 ","$461,799 ","$92,318 ",0.34%,0.32%,1.72%,1.63%,"92,994","$23,248 ",0.34%,0.33%
10016,"8,557","$1,831,954,111 ","$8,985,976,855 ","$713,973,716 ","$3,304,885,801 ","$52,621,789 ","$311,576,814 ","$728,027,964 ","$3,722,731,158 ",41.43%,45.00%,"$59,884,594 ","$349,265,437 ","39,993","38,835","47,930,259","50,244,664","2,992,633,047","385,810,252",4.29%,5.10%,"479,934,501",5.34%,5.80%,"$231,389 ",$179 ,"$95,860 ",$74 ,"$12,358 ",$9.55 ,16,"$81,015,000 ","$5,063,438 ","$963,212 ","$2,249,727 ","$140,608 ","$11,370 ","$11,370 ","$2,238,357 ","$447,470 ",0.55%,0.56%,2.78%,2.79%,"449,743","$28,109 ",0.56%,0.56%
10017,"3,338","$640,454,871 ","$2,975,810,094 ","$274,110,480 ","$1,173,766,947 ","$14,151,108 ","$67,832,078 ","$278,265,518 ","$1,317,219,229 ",44.26%,45.00%,"$14,774,664 ","$75,274,511 ","13,112","12,879","15,578,964","24,646,884","1,105,934,869","142,577,123",4.79%,5.08%,"169,815,903",5.71%,5.80%,"$231,059 ",$121 ,"$102,277 ",$53 ,"$13,185 ",$6.89 ,307,"$4,827,850,987 ","$15,725,899 ","$54,662,770 ","$138,998,148 ","$452,763 ","$4,837,482 ","$13,771,267 ","$125,226,881 ","$25,034,106 ",0.52%,0.57%,2.88%,2.98%,"27,787,120","$90,512 ",0.58%,0.60%
10018,524,"$283,541,337 ","$1,669,010,233 ","$107,140,920 ","$629,992,665 ","$42,245,254 ","$335,933,875 ","$113,411,991 ","$701,385,344 ",42.02%,45.00%,"$43,686,158 ","$366,103,266 ","7,345","7,083","3,931,917","11,673,750","293,963,670","37,897,796",2.27%,2.85%,"90,422,599",5.42%,5.80%,"$235,636 ",$143 ,"$99,024 ",$60 ,"$12,766 ",$7.75 ,110,"$797,448,719 ","$7,249,534 ","$16,243,492 ","$32,386,922 ","$294,427 ","$2,238,881 ","$3,958,826 ","$28,428,096 ","$5,683,061 ",0.71%,0.78%,4.06%,4.13%,"6,474,470","$58,859 ",0.81%,0.83%
10019,"8,467","$2,117,477,443 ","$9,107,293,202 ","$862,407,962 ","$3,378,861,012 ","$76,252,550 ","$700,614,980 ","$893,303,741 ","$3,909,721,333 ",42.93%,45.00%,"$79,864,967 ","$800,289,702 ","40,550","39,619","88,516,765","64,398,438","2,673,446,660","344,660,743",3.78%,4.97%,"504,041,274",5.53%,5.80%,"$229,872 ",$141 ,"$98,683 ",$61 ,"$12,722 ",$7.83 ,123,"$1,446,121,413 ","$11,757,085 ","$12,315,016 ","$33,209,446 ","$269,995 ","$140,115 ","$147,482 ","$33,061,964 ","$6,609,417 ",0.46%,0.43%,2.30%,2.20%,"6,638,900","$53,975 ",0.46%,0.44%
10020,2,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,#DIV/0!,0.00%,$0 ,$0 ,0,0,"205,972","5,164,103",0,0,#DIV/0!,0.00%,0,#DIV/0!,0.00%,#DIV/0!,$0 ,#DIV/0!,$0 ,#DIV/0!,$0.00 ,302,"$2,347,511,495 ","$7,773,217 ","$27,085,545 ","$59,353,542 ","$196,535 ","$379,094 ","$677,507 ","$58,676,035 ","$11,729,926 ",0.50%,0.47%,2.53%,2.33%,"11,865,367","$39,289 ",0.51%,0.47%
10021,"3,740","$2,067,828,302 ","$8,970,125,094 ","$858,097,856 ","$3,388,886,094 ","$49,596,333 ","$153,291,044 ","$865,414,241 ","$3,837,537,804 ",42.78%,45.00%,"$50,725,509 ","$169,421,495 ","29,773","28,886","25,284,367","42,130,156","3,230,441,333","416,468,497",4.64%,5.07%,"494,735,374",5.52%,5.80%,"$310,535 ",$213 ,"$132,851 ",$91 ,"$17,127 ",$11.74 ,173,"$988,281,951 ","$5,712,612 ","$8,928,355 ","$20,386,092 ","$117,839 ","$101,953 ","$101,953 ","$20,284,139 ","$4,055,002 ",0.41%,0.38%,2.06%,1.91%,"4,075,384","$23,557 ",0.41%,0.38%
10022,"5,191","$1,866,548,985 ","$8,143,139,699 ","$780,459,816 ","$3,119,398,153 ","$52,702,598 ","$115,656,235 ","$788,936,904 ","$3,536,869,336 ",43.43%,45.00%,"$58,303,370 ","$129,513,251 ","47,996","47,210","24,866,087","53,213,086","3,000,913,153","386,877,724",4.75%,5.02%,"455,973,195",5.60%,5.80%,"$172,488 ",$153 ,"$74,918 ",$66 ,"$9,658 ",$8.57 ,209,"$455,585,493 ","$2,179,835 ","$2,459,161 ","$8,253,502 ","$39,490 ","$231,650 ","$1,583,074 ","$6,670,428 ","$1,333,485 ",0.29%,0.30%,1.81%,1.89%,"1,649,958","$7,895 ",0.36%,0.38%
